IL,IO,RS,RSH,N,ns
0.5,1e-09,0.1,300,1.3,140
0.5,1e-09,0.1,300,1.5,140
0.5,1e-09,0.1,3000,1.3,140
0.5,1e-09,0.1,3000,1.5,140
0.5,1e-09,1.0,300,1.3,140
0.5,1e-09,1.0,300,1.5,140
0.5,1e-09,1.0,3000,1.3,140
0.5,1e-09,1.0,3000,1.5,140
0.5,1e-08,0.1,300,1.3,140
0.5,1e-08,0.1,300,1.5,140
0.5,1e-08,0.1,3000,1.3,140
0.5,1e-08,0.1,3000,1.5,140
0.5,1e-08,1.0,300,1.3,140
0.5,1e-08,1.0,300,1.5,140
0.5,1e-08,1.0,3000,1.3,140
0.5,1e-08,1.0,3000,1.5,140
2.5,1e-09,0.1,300,1.3,140
2.5,1e-09,0.1,300,1.5,140
2.5,1e-09,0.1,3000,1.3,140
2.5,1e-09,0.1,3000,1.5,140
2.5,1e-09,1.0,300,1.3,140
2.5,1e-09,1.0,300,1.5,140
2.5,1e-09,1.0,3000,1.3,140
2.5,1e-09,1.0,3000,1.5,140
2.5,1e-08,0.1,300,1.3,140
2.5,1e-08,0.1,300,1.5,140
2.5,1e-08,0.1,3000,1.3,140
2.5,1e-08,0.1,3000,1.5,140
2.5,1e-08,1.0,300,1.3,140
2.5,1e-08,1.0,300,1.5,140
2.5,1e-08,1.0,3000,1.3,140
2.5,1e-08,1.0,3000,1.5,140
